Domain,Type,Sponsoring Organisation,Date
.abbott,generic,"Abbott Laboratories, Inc.",2026-03-11
.abogado,generic,Top Level Domain Holdings Limited,2026-03-11
.academy,generic,"Half Oaks, LLC",2026-03-11
.accountant,generic,dot Accountant Limited,2026-03-11
.accountants,generic,"Knob Town, LLC",2026-03-11
.active,generic,"The Active Network, Inc",2026-03-11
.actor,generic,United TLD Holdco Ltd.,2026-03-11
.ads,generic,Charleston Road Registry Inc.,2026-03-11
.adult,generic,ICM Registry AD LLC,2026-03-11
.afl,generic,Australian Football League,2026-03-11
.agency,generic,"Steel Falls, LLC",2026-03-11
.airforce,generic,United TLD Holdco Ltd.,2026-03-11
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,2026-03-11
.alsace,generic,REGION D ALSACE,2026-03-11
.amsterdam,generic,Gemeente Amsterdam,2026-03-11
.android,generic,Charleston Road Registry Inc.,2026-03-11
.apartments,generic,"June Maple, LLC",2026-03-11
.aquarelle,generic,Aquarelle.com,2026-03-11
.archi,generic,STARTING DOT LIMITED,2026-03-11
.army,generic,United TLD Holdco Ltd.,2026-03-11
.associates,generic,"Baxter Hill, LLC",2026-03-11
.attorney,generic,"United TLD Holdco, Ltd",2026-03-11
.auction,generic,"United TLD HoldCo, Ltd.",2026-03-11
.audio,generic,"Uniregistry, Corp.",2026-03-11
.autos,generic,"DERAutos, LLC",2026-03-11
.axa,generic,AXA SA,2026-03-11
.band,generic,"United TLD Holdco, Ltd",2026-03-11
.bank,generic,"fTLD Registry Services, LLC",2026-03-11
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2026-03-11
.barclaycard,generic,Barclays Bank PLC,2026-03-11
.barclays,generic,Barclays Bank PLC,2026-03-11
.bargains,generic,"Half Hallow, LLC",2026-03-11
.bauhaus,generic,Werkhaus GmbH,2026-03-11
.bayern,generic,Bayern Connect GmbH,2026-03-11
.bbc,generic,British Broadcasting Corporation,2026-03-11
.beer,generic,Top Level Domain Holdings Limited,2026-03-11
.berlin,generic,dotBERLIN GmbH & Co. KG,2026-03-11
.best,generic,BestTLD Pty Ltd,2026-03-11
.bid,generic,dot Bid Limited,2026-03-11
.bike,generic,"Grand Hollow, LLC",2026-03-11
.bingo,generic,"Sand Cedar, LLC",2026-03-11
.bio,generic,STARTING DOT LIMITED,2026-03-11
.black,generic,Afilias Limited,2026-03-11
.blackfriday,generic,"Uniregistry, Corp.",2026-03-11
.bloomberg,generic,Bloomberg IP Holdings LLC,2026-03-11
.blue,generic,Afilias Limited,2026-03-11
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft,2026-03-11
.bnpparibas,generic,BNP Paribas,2026-03-11
.boats,generic,"DERBoats, LLC",2026-03-11
.bond,generic,Bond University Limited,2026-03-11
.boo,generic,Charleston Road Registry Inc.,2026-03-11
.boutique,generic,"Over Galley, LLC",2026-03-11
.brussels,generic,DNS.be vzw,2026-03-11
